test,result,detail,response_ms,checked_at
Backend port 3000 reachable,FAIL,Connection refused — server not running,,2026-05-19 22:07:14
Backend port 3001 reachable,FAIL,Connection refused — server not running,,2026-05-19 22:07:18
Backend port 3002 reachable,FAIL,Connection refused — server not running,,2026-05-19 22:07:22
Backend port 3003 reachable,FAIL,Connection refused — server not running,,2026-05-19 22:07:26
Backend port 3000 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:30
Backend port 3001 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:35
Backend port 3002 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:39
Backend port 3003 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:43
Backend port 3000 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:47
Backend port 3001 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:51
Backend port 3002 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:55
Backend port 3003 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:07:59
Load balancer reachable (port 8080),FAIL,Connection refused — check nginx/HAProxy,,2026-05-19 22:08:03
Load balancer distributes requests,FAIL,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 22:08:07
Raw request logs folder writable,PASS,logging/raw,,2026-05-19 22:08:07
System metrics logs folder writable,PASS,logging/metrics,,2026-05-19 22:08:07
Health check reports folder writable,PASS,logging/health_reports,,2026-05-19 22:08:07
Smoke test reports folder writable,PASS,logging/smoke_reports,,2026-05-19 22:08:07
