test,result,detail,response_ms,checked_at
Backend port 3000 reachable,FAIL,Connection refused — server not running,,2026-05-19 23:30:29
Backend port 3001 reachable,FAIL,Connection refused — server not running,,2026-05-19 23:30:33
Backend port 3002 reachable,FAIL,Connection refused — server not running,,2026-05-19 23:30:37
Backend port 3003 reachable,FAIL,Connection refused — server not running,,2026-05-19 23:30:42
Backend port 3000 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:30:46
Backend port 3001 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:30:50
Backend port 3002 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:30:54
Backend port 3003 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:30:58
Backend port 3000 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:31:02
Backend port 3001 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:31:06
Backend port 3002 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:31:10
Backend port 3003 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:31:14
Load balancer reachable (port 8080),FAIL,Connection refused — check nginx/HAProxy,,2026-05-19 23:31:18
Load balancer distributes requests,FAIL,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-19 23:31:22
Raw request logs folder writable,PASS,logging/raw,,2026-05-19 23:31:22
System metrics logs folder writable,PASS,logging/metrics,,2026-05-19 23:31:22
Health check reports folder writable,PASS,logging/health_reports,,2026-05-19 23:31:22
Smoke test reports folder writable,PASS,logging/smoke_reports,,2026-05-19 23:31:22
Full request flows through load balancer → backend → ML,FAIL,Load balancer not reachable — chain is broken at entry point,,2026-05-19 23:31:26
