test,result,detail,response_ms,checked_at
Backend port 3001 reachable,FAIL,Connection refused — server not running,,2026-05-20 11:50:48
Backend port 3002 reachable,FAIL,Connection refused — server not running,,2026-05-20 11:50:53
Backend port 3003 reachable,FAIL,Connection refused — server not running,,2026-05-20 11:50:57
Backend port 3001 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:01
Backend port 3002 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:05
Backend port 3003 response < 500ms,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:09
Backend port 3001 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3001): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3001): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:13
Backend port 3002 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3002): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3002): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:17
Backend port 3003 returns JSON,FAIL,"HTTPConnectionPool(host='localhost', port=3003): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3003): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:21
Load balancer reachable (port 8080),FAIL,Connection refused — check nginx/HAProxy,,2026-05-20 11:51:25
Load balancer distributes requests,FAIL,"HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /health (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=3000): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))",,2026-05-20 11:51:29
Raw request logs folder writable,PASS,logging/raw,,2026-05-20 11:51:30
System metrics logs folder writable,PASS,logging/metrics,,2026-05-20 11:51:30
Health check reports folder writable,PASS,logging/health_reports,,2026-05-20 11:51:30
Smoke test reports folder writable,PASS,logging/smoke_reports,,2026-05-20 11:51:30
Full request flows through load balancer → backend → ML,FAIL,Load balancer not reachable — chain is broken at entry point,,2026-05-20 11:51:34
